system_name,System_ID,NOTE: These are systems we have identified as either being directly served by the CVP or receiving water from another system/entity that receives CVP water. In the latter case we cannot be sure the water they receive is CVP water. 
ALAMEDA POINT,CA0110016,
"AVENAL, CITY OF",CA1610002,
AZCAL MANAGEMENT CO,CA1600023,
BELLA VISTA WATER DISTRICT,CA4510014,
BIG REDWOOD PARK WATER,CA4400526,
BRUSH AND OLD WELL MUTUAL WATER COMPANY,CA4300978,
CAL AM - ANTELOPE,CA3410031,
CAL AM - LINCOLN OAKS,CA3410013,
CAL AM - PARKWAY,CA3410017,
CAL AM - SUBURBAN ROSEMONT,CA3410010,
CALIFORNIA WATER SERVICE - STOCKTON,CA3910001,
"CC FARMS, LLC.",CA1009232,
CCWD/BRENTWOOD WTP,CA0710011,
CDCR CALIFORNIA HEALTH CARE FACILITY,CA3910803,
CENTERVILLE C.S.D.,CA4510011,
CITRUS HEIGHTS WATER DISTRICT,CA3410006,
CITY OF ANTIOCH,CA0710001,
CITY OF CUPERTINO,CA4310018,
CITY OF DAVIS,CA5710001,
CITY OF DOS PALOS,CA2410002,
CITY OF FRESNO,CA1010007,
CITY OF MARTINEZ,CA0710006,
CITY OF MILPITAS,CA4310005,
CITY OF MOUNTAIN VIEW,CA4310007,
CITY OF ORANGE COVE,CA1010023,
CITY OF PITTSBURG,CA0710008,
CITY OF REDDING,CA4510005,
CITY OF ROSEVILLE,CA3110008,
CITY OF SAN JOSE - EVG/EDV/COY,CA4310020,
CITY OF SANTA CLARA,CA4310012,
CITY OF SHASTA LAKE,CA4510006,
CITY OF STOCKTON,CA3910012,
CITY OF SUNNYVALE,CA4310014,
CITY OF WEST SACRAMENTO,CA5710003,
CITY OF WOODLAND,CA5710006,
CLAYTON PALMS WATER,CA0707603,
CLEAR CREEK CSD-ANDERSON,CA4510016,
COALINGA-CITY,CA1010004,
CONTRA COSTA WATER DISTRICT,CA0710003,
CSA NO. 31 STONEGATE WS,CA3500006,
CWSC LOS ALTOS SUBURBAN,CA4310001,
DIABLO WATER DISTRICT,CA0710007,
EAST BAY MUD,CA0110005,
EL DORADO ID - MAIN,CA0910001,
ELK CREEK COMMUNITY S.D.,CA1100616,
FAIR OAKS WATER DISTRICT,CA3410009,
FCSA #30/EL PORVENIR,CA1000019,
FCSA #32/CANTUA CREEK,CA1000359,
FCSA #34/ MILLERTON NEW TOWN,CA1000484,
FCSA #49/ FIVE POINTS,CA1000546,
FCWWD #18/FRIANT,CA1010051,
FOLSOM STATE PRISON,CA3410032,
"FOLSOM, CITY OF - ASHLAND",CA3410030,
"FOLSOM, CITY OF - MAIN",CA3410014,
GOLDEN STATE WATER COMPANY - BAY POINT,CA0710002,
HARRIS FARMS HEADQUARTERS,CA1009027,
HARRIS FARMS SOUTH #101-144,CA1009028,
HARRIS FARMS/HORSE BARN,CA1000213,
HARRIS FEEDING COMPANY,CA1009078,
"HOLLISTER, CITY OF",CA3510001,
"HURON, CITY OF",CA1010044,
KENNON WATER COMPANY,CA4300521,
KNIGHTS FERRY COMM. SVC. DIST.,CA5000008,
LEMOORE NAVAL AIR STATION,CA1610700,
"LINDSAY, CITY OF",CA5410006,
LSID - TONYVILLE,CA5410007,
LSID-STRATHMORE SYSTEM,CA5410036,
MADERA CO MD1-HIDDEN LAKE ESTATES,CA2000544,
MADERA CO SA16 SUMNER HILL,CA2000729,
MIREVAL IMPROVEMENT ASSOCIATION,CA4300741,
MOUNTAIN GATE C.S.D.,CA4510002,
MOUNTAIN SPRINGS MUTUAL WATER COMPANY,CA4300740,
MT. EDEN MUTUAL WATER COMPANY,CA4300831,
MT. PLEASANT WATER USERS ASSOCIATION,CA4300563,
OAKMONT WATER SYSTEM,CA4300526,
ORANGE VALE WATER COMPANY,CA3410016,
PANOCHE WATER DISTRICT,CA1000345,
PAPPAS & CO (MENDOTA),CA1009039,
"PLACERVILLE, CITY OF - MAIN",CA0910003,
RANDALL-BOLD WATER TREATMENT PLANT,CA0710010,
RIDGE MUTUAL WATER COMPANY,CA4400618,
ROSEVIEW HEIGHTS MUTUAL WATER COMPANY,CA4300562,
SACRAMENTO SUBURBAN WATER DISTRICT,CA3410001,
SAN BENITO COUNTY WATER DISTRICT,CA3510007,
SAN JOAQUIN COUNTY - COLONIAL HEIGHTS,CA3910002,
SAN JOAQUIN COUNTY - LINCOLN VILLAGE,CA3910010,
SAN JOSE WATER,CA4310011,
SAN JUAN WATER DISTRICT,CA3410021,
SAN LUIS HILLS,CA2400209,
SANTA CLARA VALLEY WATER DISTRICT,CA4310027,
SANTA NELLA COUNTY WATER DISTRICT,CA2410018,
SARATOGA HEIGHTS MUTUAL WATER COMPANY,CA4300545,
SHASTA C.S.D.,CA4510013,
"SHASTA CSA - JONES VALLEY, #6",CA4510004,
SPRING VALLEY HEIGHTS ASSOCIATION INC,CA4300856,
STOCKTON EAST WATER DISTRICT,CA3910006,
STRATHMORE PUBLIC UTIL DIST,CA5410012,
SUMMIT WEST MUTUAL WATER CO.,CA4400617,
SUNNYSLOPE COUNTY WATER DIST,CA3510003,
TERRA BELLA IRRIGATION DISTRICT - TBT,CA5410038,
TERRA LINDA FARMS,CA1009222,
"TESORO VIEJO MASTER MWC, INC.",CA2010017,
"TRACY, CITY OF",CA3910011,
TRAILER HAVEN MOBILE HOME PARK,CA0103041,
UC - DAVIS,CA5710009,
VILLA DEL MONTE MWC,CA4400595,
VISTA GRANDE WATER USERS ASSOCIATION,CA4300550,
WESTSIDE HARVESTING,CA1009214,
WOODLAND-DAVIS CLEAN WATER AGENCY,CA5710012,