"","System_ID","system_lat","system_lon","county","swp_loop"
"1","CA0110001",37.53781479,-122.0200353,"Alameda","Yes"
"2","CA0110001",37.53781479,-122.0200353,"Alameda","Yes"
"3","CA3610002",34.24218937,-117.2287543,"San Bernardino","Yes"
"4","CA2810005",38.19719092,-122.2510774,"Napa","Yes"
"5","CA2810005",38.19719092,-122.2510774,"Napa","Yes"
"6","CA4210700",34.71392318,-120.5569903,"Santa Barbara","Yes"
"7","CA1510053",34.87787658,-118.0769454,"Kern","Yes"
"8","CA1510053",34.87787658,-118.0769454,"Kern","Yes"
"9","CA1910045",34.87636222,-118.0811573,"Los Angeles","Yes"
"10","CA1910045",34.87636222,-118.0811573,"Los Angeles","Yes"
"11","CA3610093",34.24047552,-117.1833513,"San Bernardino","Yes"
"12","CA4000222",35.17881018,-120.7282948,"San Luis Obispo","Yes"
"13","CA4000222",35.17881018,-120.7282948,"San Luis Obispo","Yes"
"14","CA4000716",35.19093822,-120.706976,"San Luis Obispo","Yes"
"15","CA4000716",35.19093822,-120.706976,"San Luis Obispo","Yes"
"16","CA1510031",35.33106838,-119.1172073,"Kern","Yes"
"17","CA1910012",33.87183168,-118.1468887,"Los Angeles","Yes"
"18","CA1910018",33.89290402,-118.1237533,"Los Angeles","Yes"
"19","CA1910156",34.07903486,-118.4002366,"Los Angeles","Yes"
"20","CA4400526",37.11431532,-121.9846683,"Santa Cruz","Yes"
"21","CA1510002",35.00477006,-117.6533572,"Kern","Yes"
"22","CA3310004",33.92360256,-117.2796786,"Riverside","Yes"
"23","CA5603301",34.25042882,-118.7009956,"Ventura","Yes"
"24","CA1009023",36.41858445,-120.1615579,"Fresno","Yes"
"25","CA1009179",36.4275519,-120.1020389,"Fresno","Yes"
"26","CA4300978",37.16693351,-121.9955426,"Santa Clara","Yes"
"27","CA1910179",34.18790773,-118.323463,"Los Angeles","Yes"
"28","CA5610040",34.18773559,-118.9313937,"Ventura","Yes"
"29","CA5610081",34.25078755,-119.0651602,"Ventura","Yes"
"30","CA3710001",32.60460615,-117.1169306,"San Diego","Yes"
"31","CA0410005",39.49786521,-121.5587425,"Butte","Yes"
"32","CA1910052",33.99292219,-118.3591205,"Los Angeles","Yes"
"33","CA1910139",34.10548135,-118.0900266,"Los Angeles","Yes"
"34","CA1910022",34.05669204,-117.8213049,"Los Angeles","Yes"
"35","CA4010830",35.3239232,-120.6989344,"San Luis Obispo","Yes"
"36","CA3310800",33.92909001,-117.5718712,"Riverside","Yes"
"37","CA4810800",38.32108935,-121.9752046,"Solano","Yes"
"38","CA0110003",37.67019835,-121.7566692,"Alameda","Yes"
"39","CA5610016",34.16955469,-118.8240385,"Ventura","Yes"
"40","CA1910243",34.61582762,-118.2974212,"Los Angeles","Yes"
"41","CA1910033",33.83896437,-118.2705726,"Los Angeles","Yes"
"42","CA1910033",33.83896437,-118.2705726,"Los Angeles","Yes"
"43","CA1910036",34.02234788,-118.1619728,"Los Angeles","Yes"
"44","CA1910134",33.85290491,-118.3809882,"Los Angeles","Yes"
"45","CA1910104",33.76581215,-118.3651076,"Los Angeles","Yes"
"46","CA1910010",34.65091849,-118.1633909,"Los Angeles","Yes"
"47","CA4810701",38.26729898,-121.9420936,"Solano","Yes"
"48","CA2810002",38.58641722,-122.5896151,"Napa","Yes"
"49","CA5610050",34.24447064,-118.8622278,"Ventura","Yes"
"50","CA5610019",34.2253486,-119.0544626,"Ventura","Yes"
"51","CA3710702",33.31518062,-117.366822,"San Diego","Yes"
"52","CA5610063",34.23137967,-118.9416091,"Ventura","Yes"
"53","CA4000230",35.13560258,-120.5593212,"San Luis Obispo","Yes"
"54","CA3710005",33.13321725,-117.2926143,"San Diego","Yes"
"55","CA4210001",34.41258864,-119.5098854,"Santa Barbara","Yes"
"56","CA3610011",34.25508135,-117.3243223,"San Bernardino","Yes"
"57","CA1995000",33.93840331,-118.1137501,"Los Angeles","Yes"
"58","CA4210030",34.61882944,-120.2131867,"Santa Barbara","Yes"
"59","CA1910019",33.86793421,-118.0687398,"Los Angeles","Yes"
"60","CA5610039",34.16569339,-119.2248463,"Ventura","Yes"
"61","CA3610036",33.95021906,-117.7250874,"San Bernardino","Yes"
"62","CA3610036",33.95021906,-117.7250874,"San Bernardino","Yes"
"63","CA3610012",33.98200986,-117.6639368,"San Bernardino","Yes"
"64","CA3610012",33.98200986,-117.6639368,"San Bernardino","Yes"
"65","CA3301115",33.66271106,-115.7201715,"Riverside","Yes"
"66","CA4010030",35.32124981,-120.7206869,"San Luis Obispo","Yes"
"67","CA1910001",34.08399886,-118.1359152,"Los Angeles","Yes"
"68","CA3010001",33.83833721,-117.8593074,"Orange","Yes"
"69","CA4010001",35.12432298,-120.5846868,"San Luis Obispo","Yes"
"70","CA1910108",33.9719657,-118.1482374,"Los Angeles","Yes"
"71","CA4810001",38.07240308,-122.152537,"Solano","Yes"
"72","CA3010002",33.92546984,-117.8653805,"Orange","Yes"
"73","CA4210018",34.61503843,-120.1952009,"Santa Barbara","Yes"
"74","CA4310018",37.32281595,-122.0661797,"Santa Clara","Yes"
"75","CA4810003",38.25691747,-122.0543405,"Solano","Yes"
"76","CA3010010",33.88402731,-117.9278119,"Orange","Yes"
"77","CA3010062",33.77880226,-117.9602922,"Orange","Yes"
"78","CA4010004",35.12036546,-120.6198433,"San Luis Obispo","Yes"
"79","CA4010004",35.12036546,-120.6198433,"San Luis Obispo","Yes"
"80","CA3010018",33.9277392,-117.9510176,"Orange","Yes"
"81","CA3010100",33.84958816,-118.053887,"Orange","Yes"
"82","CA0110011",37.69370092,-121.7647077,"Alameda","Yes"
"83","CA4310005",37.43357581,-121.892137,"Santa Clara","Yes"
"84","CA4310007",37.40106648,-122.079506,"Santa Clara","Yes"
"85","CA3010027",33.80621552,-117.8301233,"Orange","Yes"
"86","CA0110008",37.66166699,-121.8864455,"Alameda","Yes"
"87","CA3210003",39.82407192,-120.4733909,"Plumas","Yes"
"88","CA3010036",33.44373378,-117.6151712,"Orange","Yes"
"89","CA4310020",37.26842469,-121.7650003,"Santa Clara","Yes"
"90","CA3010038",33.73672841,-117.8818296,"Orange","Yes"
"91","CA4210010",34.43168476,-119.7105281,"Santa Barbara","Yes"
"92","CA4210010",34.43168476,-119.7105281,"Santa Barbara","Yes"
"93","CA4310012",37.36450027,-121.9680254,"Santa Clara","Yes"
"94","CA4210011",34.93431105,-120.4408725,"Santa Barbara","Yes"
"95","CA1910154",34.11023347,-118.1572307,"Los Angeles","Yes"
"96","CA4310014",37.37762936,-122.0233061,"Santa Clara","Yes"
"97","CA5610020",34.20086597,-118.8504655,"Ventura","Yes"
"98","CA3010046",33.74678666,-117.8151206,"Orange","Yes"
"99","CA4810008",38.35970578,-121.9679379,"Solano","Yes"
"100","CA4810007",38.11411518,-122.2350559,"Solano","Yes"
"101","CA4810021",38.1151181,-122.2340023,"Solano","Yes"
"102","CA5110002",39.13218884,-121.639771,"Sutter","Yes"
"103","CA3610114",34.24657785,-117.2108944,"San Bernardino","Yes"
"104","CA1910050",33.98454348,-118.1504475,"Los Angeles","Yes"
"105","CA3310037",33.85990714,-117.5647546,"Riverside","Yes"
"106","CA1910127",34.08483705,-117.8789377,"Los Angeles","Yes"
"107","CA1910028",34.22717591,-118.2381619,"Los Angeles","Yes"
"108","CA3610015",34.24187734,-117.2761827,"San Bernardino","Yes"
"109","CA5610058",34.23775323,-119.0748634,"Ventura","Yes"
"110","CA3610018",34.12581984,-117.5632613,"San Bernardino","Yes"
"111","CA1510003",35.37175165,-118.956594,"Kern","Yes"
"112","CA1510003",35.37175165,-118.956594,"Kern","Yes"
"113","CA1510055",35.41165779,-119.0927001,"Kern","Yes"
"114","CA1510055",35.41165779,-119.0927001,"Kern","Yes"
"115","CA4310001",37.35649093,-122.0812055,"Santa Clara","Yes"
"116","CA3600087",34.27772652,-117.2109871,"San Bernardino","Yes"
"117","CA3710004",32.96349448,-117.2624739,"San Diego","Yes"
"118","CA0405001",39.68508805,-121.5621432,"Butte","Yes"
"119","CA1510027",35.01627184,-117.6660268,"Kern","Yes"
"120","CA0110009",37.73179724,-121.9002761,"Alameda","Yes"
"121","CA1510006",35.37005687,-118.9232514,"Kern","Yes"
"122","CA3610064",34.12565083,-117.1911495,"San Bernardino","Yes"
"123","CA3310009",33.73041169,-117.099803,"Riverside","Yes"
"124","CA1510701",34.90454358,-117.9292823,"Kern","Yes"
"125","CA1900803",34.62380189,-118.1566337,"Los Angeles","Yes"
"126","CA1910040",33.91695908,-118.4021266,"Los Angeles","Yes"
"127","CA3010079",33.61543936,-117.7112416,"Orange","Yes"
"128","CA3010079",33.61543936,-117.7112416,"Orange","Yes"
"129","CA3310012",33.67186462,-117.3226674,"Riverside","Yes"
"130","CA3710006",33.13083461,-117.0577012,"San Diego","Yes"
"131","CA3710008",33.40762721,-117.2631098,"San Diego","Yes"
"132","CA3310046",33.62611825,-117.2242885,"Riverside","Yes"
"133","CA1910032",34.20041531,-118.1719391,"Los Angeles","Yes"
"134","CA3301283",33.73856247,-117.4484347,"Riverside","Yes"
"135","CA3301294",33.75512193,-117.4956839,"Riverside","Yes"
"136","CA1910043",34.17074847,-118.2440114,"Los Angeles","Yes"
"137","CA4210016",34.87260294,-120.4255914,"Santa Barbara","Yes"
"138","CA5610059",34.26261033,-118.729159,"Ventura","Yes"
"139","CA4210021",34.90303846,-120.4877546,"Santa Barbara","Yes"
"140","CA3010047",33.77155131,-117.7797081,"Orange","Yes"
"141","CA3010035",33.87986513,-117.8508327,"Orange","Yes"
"142","CA3610023",34.24086768,-117.0763228,"San Bernardino","Yes"
"143","CA1910004",33.84687559,-118.078168,"Los Angeles","Yes"
"144","CA1910004",33.84687559,-118.078168,"Los Angeles","Yes"
"145","CA1910011",33.96851639,-118.1713352,"Los Angeles","Yes"
"146","CA1910024",34.11478823,-117.7172967,"Los Angeles","Yes"
"147","CA1910030",34.00630997,-118.3943159,"Los Angeles","Yes"
"148","CA1910077",33.96932686,-118.2440427,"Los Angeles","Yes"
"149","CA1910098",33.92179408,-118.068113,"Los Angeles","Yes"
"150","CA1910155",33.90587186,-118.3152446,"Los Angeles","Yes"
"151","CA1910155",33.90587186,-118.3152446,"Los Angeles","Yes"
"152","CA1910072",33.91971606,-118.2353429,"Los Angeles","Yes"
"153","CA1910142",34.09761718,-117.8239467,"Los Angeles","Yes"
"154","CA1910142",34.09761718,-117.8239467,"Los Angeles","Yes"
"155","CA4210003",34.96034767,-120.5729167,"Santa Barbara","Yes"
"156","CA1910047",33.91437116,-118.3473764,"Los Angeles","Yes"
"157","CA3710010",32.78342888,-116.9705748,"San Diego","Yes"
"158","CA3310016",33.74167257,-116.981907,"Riverside","Yes"
"159","CA3310018",33.87668433,-117.5220886,"Riverside","Yes"
"160","CA1910049",33.979128,-118.2173868,"Los Angeles","Yes"
"161","CA1910051",33.95996958,-118.3453518,"Los Angeles","Yes"
"162","CA3690001",34.04972627,-117.610111,"San Bernardino","Yes"
"163","CA3010092",33.70443747,-117.7365829,"Orange","Yes"
"164","CA3010071",33.43700853,-117.6115454,"Orange","Yes"
"165","CA4300521",37.21895882,-121.9363659,"Santa Clara","Yes"
"166","CA1510040",35.36874945,-119.0280089,"Kern","Yes"
"167","CA1510040",35.36874945,-119.0280089,"Kern","Yes"
"168","CA1610009",35.99922591,-119.9617334,"Kings","Yes"
"169","CA1910054",34.21738925,-118.2113262,"Los Angeles","Yes"
"170","CA4210024",34.42453262,-119.7700125,"Santa Barbara","Yes"
"171","CA1910218",33.96020962,-117.9509794,"Los Angeles","Yes"
"172","CA1910062",34.12777088,-117.7620213,"Los Angeles","Yes"
"173","CA3610045",34.23004563,-117.2243377,"San Bernardino","Yes"
"174","CA3010017",33.55499314,-117.7692676,"Orange","Yes"
"175","CA3610005",34.25961011,-117.1943725,"San Bernardino","Yes"
"176","CA1910056",34.64887566,-118.3507192,"Los Angeles","Yes"
"177","CA3710013",32.8742748,-116.925059,"San Diego","Yes"
"178","CA1910239",33.84858391,-118.1317307,"Los Angeles","Yes"
"179","CA1900809",34.65334421,-118.1205841,"Los Angeles","Yes"
"180","CA1910061",34.19619975,-118.1311726,"Los Angeles","Yes"
"181","CA1910225",34.11142725,-118.7509335,"Los Angeles","Yes"
"182","CA1910225",34.11142725,-118.7509335,"Los Angeles","Yes"
"183","CA1910211",33.9014263,-118.0958986,"Los Angeles","Yes"
"184","CA1910021",33.90709631,-118.2518142,"Los Angeles","Yes"
"185","CA1910161",33.89989008,-118.1940885,"Los Angeles","Yes"
"186","CA1910241",34.21384631,-118.1845564,"Los Angeles","Yes"
"187","CA1910063",34.201416,-118.1517738,"Los Angeles","Yes"
"188","CA1910064",34.53250728,-117.9882453,"Los Angeles","Yes"
"189","CA1910073",33.79456666,-118.3178298,"Los Angeles","Yes"
"190","CA1910065",33.80445041,-118.1612201,"Los Angeles","Yes"
"191","CA4010022",35.17105775,-120.5325885,"San Luis Obispo","Yes"
"192","CA1910075",34.28977459,-118.3763047,"Los Angeles","Yes"
"193","CA1910204",34.0642612,-118.7041143,"Los Angeles","Yes"
"194","CA1910185",34.46600657,-118.6648556,"Los Angeles","Yes"
"195","CA1910248",34.48528936,-118.1901093,"Los Angeles","Yes"
"196","CA1910070",34.65155621,-118.1774567,"Los Angeles","Yes"
"197","CA1910203",34.56196304,-117.9364607,"Los Angeles","Yes"
"198","CA1910005",34.61355347,-117.8349673,"Los Angeles","Yes"
"199","CA1910067",34.11708756,-118.4079676,"Los Angeles","Yes"
"200","CA1910079",33.92513169,-118.2022335,"Los Angeles","Yes"
"201","CA1910083",33.88940671,-118.3971101,"Los Angeles","Yes"
"202","CA3610028",34.07310944,-117.4186345,"San Bernardino","Yes"
"203","CA1910084",33.98512042,-118.1930235,"Los Angeles","Yes"
"204","CA1910085",33.98672611,-118.1876743,"Los Angeles","Yes"
"205","CA1910087",33.68670638,-117.7055233,"Los Angeles","Yes"
"206","CA4300741",37.21451529,-121.9552939,"Santa Clara","Yes"
"207","CA1510014",35.07631053,-118.1823323,"Kern","Yes"
"208","CA3610029",34.05608911,-117.7041513,"San Bernardino","Yes"
"209","CA4210007",34.43663405,-119.6156323,"Santa Barbara","Yes"
"210","CA4010011",35.37399146,-120.8577068,"San Luis Obispo","Yes"
"211","CA3010073",33.55689492,-117.703839,"Orange","Yes"
"212","CA4300740",37.14994658,-121.978924,"Santa Clara","Yes"
"213","CA4300831",37.27576476,-122.0590957,"Santa Clara","Yes"
"214","CA4300563",37.34049018,-121.773007,"Santa Clara","Yes"
"215","Municipal Water District of Orange County",33.68354394,-117.7744536,"Orange","Yes"
"216","CA2810003",38.30220815,-122.306856,"Napa","Yes"
"217","CA3710750",32.69707545,-117.2018696,"San Diego","Yes"
"218","CA5610700",34.11225962,-119.1102783,"Ventura","Yes"
"219","CA5610701",33.47945371,-119.4088955,"Ventura","Yes"
"220","CA4010026",35.04312289,-120.5045638,"San Luis Obispo","Yes"
"221","CA3310025",33.92521724,-117.5500426,"Riverside","Yes"
"222","CA1510052",35.02091179,-117.8312455,"Kern","Yes"
"223","CA1500290",35.01988307,-117.8311044,"Kern","Yes"
"224","CA1910191",33.89798009,-118.0799067,"Los Angeles","Yes"
"225","CA3310026",33.80852141,-117.1358357,"Riverside","Yes"
"226","CA4300526",37.17408242,-121.9872192,"Santa Clara","Yes"
"227","CA4010005",35.10349007,-120.6136963,"San Luis Obispo","Yes"
"228","CA4010005",35.10349007,-120.6136963,"San Luis Obispo","Yes"
"229","CA3710014",33.22467448,-117.3083553,"San Diego","Yes"
"230","CA1510015",35.43818328,-119.0639617,"Kern","Yes"
"231","CA3710029",33.0463356,-117.1862458,"San Diego","Yes"
"232","CA3610034",34.03836616,-117.6076795,"San Bernardino","Yes"
"233","CA3710034",32.66981234,-116.9244967,"San Diego","Yes"
"234","CA5610007",34.17574321,-119.1705314,"Ventura","Yes"
"235","CA3710037",32.83814273,-116.8693386,"San Diego","Yes"
"236","CA1910103",34.64446101,-118.2186567,"Los Angeles","Yes"
"237","CA1910102",34.55495134,-118.0751862,"Los Angeles","Yes"
"238","CA1910105",33.89783973,-118.1653055,"Los Angeles","Yes"
"239","CA1910124",34.16104198,-118.1358115,"Los Angeles","Yes"
"240","CA4010008",35.14875197,-120.6501097,"San Luis Obispo","Yes"
"241","CA4010008",35.14875197,-120.6501097,"San Luis Obispo","Yes"
"242","CA5610008",34.24604363,-119.0395546,"Ventura","Yes"
"243","CA1910126",34.05822907,-117.7599204,"Los Angeles","Yes"
"244","CA5610009",34.16086447,-119.1970072,"Ventura","Yes"
"245","CA5610080",34.13269259,-119.1508127,"Ventura","Yes"
"246","CA3710015",32.98458349,-117.0334701,"San Diego","Yes"
"247","CA1910130",34.65158706,-118.2151947,"Los Angeles","Yes"
"248","CA3710016",33.34229438,-117.1674377,"San Diego","Yes"
"249","CA3710019",33.02140469,-116.8913465,"San Diego","Yes"
"250","CA3710019",33.02140469,-116.8913465,"San Diego","Yes"
"251","CA3310038",33.51248549,-117.1627165,"Riverside","Yes"
"252","CA3310038",33.51248549,-117.1627165,"Riverside","Yes"
"253","CA3700936",33.34165948,-116.9983998,"San Diego","Yes"
"254","CA3610037",34.0551233,-117.1685151,"San Bernardino","Yes"
"255","CA4400618",37.14174373,-121.9952159,"Santa Cruz","Yes"
"256","CA3710018",33.11126109,-117.1113041,"San Diego","Yes"
"257","CA3710044",33.07722521,-117.0436876,"San Diego","Yes"
"258","CA3600209",34.0731136,-117.0969336,"San Bernardino","Yes"
"259","CA1510018",34.86564653,-118.1864076,"Kern","Yes"
"260","CA4300562",37.38101585,-121.7978995,"Santa Clara","Yes"
"261","CA1910194",33.97967222,-117.90811,"Los Angeles","Yes"
"262","CA1910140",34.18932467,-118.1276549,"Los Angeles","Yes"
"263","CA3610062",34.20681311,-117.1153854,"San Bernardino","Yes"
"264","CA3610019",34.11278503,-117.2227646,"San Bernardino","Yes"
"265","CA3710042",32.82117367,-117.0397007,"San Diego","Yes"
"266","CA3710020",32.83255833,-117.1420091,"San Diego","Yes"
"267","CA3710021",33.04940681,-117.2826614,"San Diego","Yes"
"268","San Gabriel Valley Municipal Water District",34.09734123,-118.0646702,"Los Angeles","Yes"
"269","CA1910117",33.98392902,-118.1266401,"Los Angeles","Yes"
"270","CA3610041",34.09188915,-117.4649661,"San Bernardino","Yes"
"271","San Gorgonio Pass Water Agency",33.94810414,-116.8947856,"Riverside","Yes"
"272","San Gorgonio Pass Water Agency",33.94810414,-116.8947856,"Riverside","Yes"
"273","San Gorgonio Pass Water Agency",33.94810414,-116.8947856,"Riverside","Yes"
"274","CA3310032",33.78673085,-116.9617426,"Riverside","Yes"
"275","CA4310011",37.2962821,-121.9104009,"Santa Clara","Yes"
"276","CA4010003",35.19283377,-120.7220396,"San Luis Obispo","Yes"
"277","CA4310027",37.23173333,-121.695431,"Santa Clara","Yes"
"278","CA1910240",34.43934878,-118.5552587,"Los Angeles","Yes"
"279","CA1910240",34.43934878,-118.5552587,"Los Angeles","Yes"
"280","CA1910240",34.43934878,-118.5552587,"Los Angeles","Yes"
"281","CA3710023",33.01217111,-117.220325,"San Diego","Yes"
"282","CA1910245",33.93051848,-118.0626342,"Los Angeles","Yes"
"283","CA3010101",33.55808298,-117.5843768,"Orange","Yes"
"284","CA3010101",33.55808298,-117.5843768,"Orange","Yes"
"285","CA3010030",33.49910984,-117.6550559,"Orange","Yes"
"286","CA3010030",33.49910984,-117.6550559,"Orange","Yes"
"287","CA1910146",34.02312407,-118.4815294,"Los Angeles","Yes"
"288","CA4210020",34.61654146,-120.1047312,"Santa Barbara","Yes"
"289","CA4300545",37.23895987,-122.0417878,"Santa Clara","Yes"
"290","CA3610026",34.25281202,-117.1639043,"San Bernardino","Yes"
"291","CA3010082",33.81792674,-117.8098152,"Orange","Yes"
"292","CA1900301",34.61092852,-118.1744673,"Los Angeles","Yes"
"293","CA4810024",38.31496141,-122.0386348,"Solano","Yes"
"294","CA4810026",38.29751074,-121.9780417,"Solano","Yes"
"295","CA1910149",33.80286847,-118.1680653,"Los Angeles","Yes"
"296","CA3600260",34.20011795,-117.1334789,"San Bernardino","Yes"
"297","CA5602130",34.31295667,-118.9958774,"Ventura","Yes"
"298","CA4210013",34.59315019,-120.1402846,"Santa Barbara","Yes"
"299","CA4210013",34.59315019,-120.1402846,"Santa Barbara","Yes"
"300","CA3010042",33.48051198,-117.7054695,"Orange","Yes"
"301","CA3400156",38.52320335,-121.4464869,"Sacramento","Yes"
"302","CA4300856",37.43846404,-121.844214,"Santa Clara","Yes"
"303","CA2810004",38.50429867,-122.4680702,"Napa","Yes"
"304","CA3600301",34.23854248,-117.2465461,"San Bernardino","Yes"
"305","CA1910147",33.91022716,-118.231594,"Los Angeles","Yes"
"306","CA1910200",34.08034499,-117.8539678,"Los Angeles","Yes"
"307","CA1910059",33.90385037,-118.0084672,"Los Angeles","Yes"
"308","CA1910205",34.03904555,-117.9240147,"Los Angeles","Yes"
"309","CA1910205",34.03904555,-117.9240147,"Los Angeles","Yes"
"310","CA1910174",33.946528,-118.0085036,"Los Angeles","Yes"
"311","CA4400617",37.12782185,-121.9989093,"Santa Cruz","Yes"
"312","CA1900146",34.62731616,-118.1964344,"Los Angeles","Yes"
"313","CA3710025",32.64958257,-117.0660852,"San Diego","Yes"
"314","CA1503341",34.98680551,-118.9407665,"Kern","Yes"
"315","CA3310074",33.76946188,-117.4842511,"Riverside","Yes"
"316","CA1910041",34.05817027,-117.8156253,"Los Angeles","Yes"
"317","CA1910213",33.83504798,-118.3349636,"Los Angeles","Yes"
"318","CA3010094",33.66897031,-117.5909742,"Orange","Yes"
"319","CA3010094",33.66897031,-117.5909742,"Orange","Yes"
"320","CA5610043",34.18243085,-118.7677404,"Ventura","Yes"
"321","CA3610050",34.11811914,-117.6605138,"San Bernardino","Yes"
"322","Upper San Gabriel Valley Municipal Water District",34.08574088,-117.9967706,"Los Angeles","Yes"
"323","CA3710707",32.89499456,-118.4780363,"San Diego","Yes"
"324","CA3710707",32.89499456,-118.4780363,"San Diego","Yes"
"325","CA1910163",34.06000043,-117.8680052,"Los Angeles","Yes"
"326","CA3710002",33.15631109,-117.1705164,"San Diego","Yes"
"327","CA3710026",33.24607686,-117.054755,"San Diego","Yes"
"328","CA3610051",34.2474679,-117.3055595,"San Bernardino","Yes"
"329","CA3610046",34.23340726,-117.3045569,"San Bernardino","Yes"
"330","CA1910166",34.19625435,-118.1945946,"Los Angeles","Yes"
"331","CA5610018",34.30132063,-118.8841662,"Ventura","Yes"
"332","CA5610003",34.22184953,-118.6889471,"Ventura","Yes"
"333","CA5610015",34.27596086,-119.0032152,"Ventura","Yes"
"334","CA5610069",34.13354097,-118.8802288,"Ventura","Yes"
"335","CA5610023",34.26978674,-118.747234,"Ventura","Yes"
"336","CA1910167",34.00217342,-118.216219,"Los Angeles","Yes"
"337","CA4400595",37.12451601,-121.9559871,"Santa Cruz","Yes"
"338","CA4300550",37.19970062,-121.9962557,"Santa Clara","Yes"
"339","CA3710027",33.1905675,-117.2226703,"San Diego","Yes"
"340","CA1910234",34.00811721,-117.834501,"Los Angeles","Yes"
"341","CA3610006",34.12623758,-117.6823561,"San Bernardino","Yes"
"342","CA5602132",34.32224961,-118.9463222,"Ventura","Yes"
"343","CA1990001",33.92856522,-118.4446309,"Los Angeles","Yes"
"344","CA3610004",34.10845153,-117.4041405,"San Bernardino","Yes"
"345","CA3610053",34.0260693,-117.1092686,"San Bernardino","Yes"
"346","CA5010039",37.40610418,-121.2604361,"Stanislaus","Yes"
"347","CA3310049",33.83609062,-117.3732328,"Riverside","Yes"
"348","CA3310036",33.55270961,-117.2142989,"Riverside","Yes"
"349","CA3310075",33.91121807,-117.2899929,"Riverside","Yes"
"350","CA3310076",33.4416956,-117.1445027,"Riverside","Yes"
"351","CA1900102",34.61165894,-118.1575586,"Los Angeles","Yes"
"352","CA1910249",34.63830834,-118.1685162,"Los Angeles","Yes"
"353","CA1900523",34.63830714,-118.1685333,"Los Angeles","Yes"
"354","CA1500324",35.12887672,-118.1147512,"Kern","Yes"
"355","CA3610055",34.02236133,-117.0395454,"San Bernardino","Yes"
"356","CA3701408",33.31865385,-116.9773704,"San Diego","Yes"
"357","CA3700938",33.31855964,-116.9773841,"San Diego","Yes"
"358","CA0110010",37.63311869,-121.7358872,"Alameda","Yes"
"359","CA0110010",37.63311869,-121.7358872,"Alameda","Yes"
